Restaurant Name,Occasion,Cuisine Preference,Dietary Restriction,Lat,Long,Rating,Location,Address
Delhi Darbar,Family Dinner,Indian,Vegetarian,28.6139,77.209,4.5,Delhi,123 Main Street -  Delhi
Spice Route,Business Meeting,Indian,Vegetarian,28.4595,77.0266,4.2,Gurgaon,456 Park Avenue -  Gurgaon
The Grill House,Date Night,Steakhouse,Gluten-Free,28.7041,77.1025,4.7,Delhi,789 Elm Street -  Delhi
Bella Cucina,Anniversary,Italian,Dairy-Free,28.5355,77.391,4.4,Noida,101 Pine Street -  Noida
Sushi Express,Casual Dining,Japanese,Nut-Free,28.4595,77.0266,4,Gurgaon,222 Oak Avenue -  Gurgaon
La Brasserie,Brunch,French,Shellfish-Free,28.4595,77.0266,4.3,Gurgaon,333 Maple Drive -  Gurgaon
Green Garden,Lunch Meeting,Vegetarian,Soy-Free,28.6139,77.209,4.1,Delhi,444 Cedar Road -  Delhi
Golden Dragon,Outdoor Dining,Chinese,Low-Carb,28.4595,77.0266,4.6,Gurgaon,555 Walnut Lane -  Gurgaon
The Sizzling Plate,Group Gathering,American,Paleo,28.4595,77.0266,4.8,Gurgaon,666 Birch Street -  Gurgaon
Tandoori Flames,Birthday Celebration,Indian,Vegetarian,28.6139,77.209,4.2,Delhi,789 Oak Street -  Delhi
Pizza Palace,Casual Dining,Italian,Dairy-Free,28.5355,77.391,4.5,Noida,222 Pine Avenue -  Noida
Taco Town,Family Dinner,Mexican,Nut-Free,28.7041,77.1025,4.3,Delhi,456 Elm Road -  Delhi
Peking Duck,Business Meeting,Chinese,Shellfish-Free,28.4595,77.0266,4.1,Gurgaon,101 Maple Street -  Gurgaon
Sakura Sushi,Date Night,Japanese,Low-Carb,28.7041,77.1025,4.6,Delhi,333 Cedar Avenue -  Delhi
Le Bistro,Fine Dining,French,Paleo,28.6139,77.209,4.4,Delhi,555 Walnut Road -  Delhi
Mamma Mia,Casual Dining,Italian,Gluten-Free,28.5355,77.391,4,Noida,777 Oak Drive -  Noida
The Steakhouse,Anniversary,Steakhouse,Dairy-Free,28.4595,77.0266,4.7,Gurgaon,888 Pine Lane -  Gurgaon
Curry House,Lunch Meeting,Indian,Nut-Free,28.6139,77.209,4.3,Delhi,987 Main Road -  Delhi
The Garden Cafe,Outdoor Dining,Vegetarian,Gluten-Free,28.5355,77.391,4.2,Noida,555 Elm Street -  Noida
Burger Joint,Casual Dining,American,Shellfish-Free,28.7041,77.1025,4.5,Delhi,123 Maple Drive -  Delhi
Noodle Bar,Family Dinner,Chinese,Dairy-Free,28.4595,77.0266,4,Gurgaon,789 Oak Avenue -  Gurgaon
Saffron Spice,Business Meeting,Indian,Paleo,28.6139,77.209,4.6,Delhi,456 Pine Lane -  Delhi
The Sushi Place,Date Night,Japanese,Low-Carb,28.7041,77.1025,4.2,Delhi,101 Cedar Road -  Delhi
Chez Pierre,Fine Dining,French,Nut-Free,28.4595,77.0266,4.7,Gurgaon,222 Walnut Lane -  Gurgaon
Veggie Delight,Casual Dining,Vegetarian,Dairy-Free,28.5355,77.391,4.4,Noida,333 Pine Avenue -  Noida
The Grill Spot,Family Dinner,American,Gluten-Free,28.7041,77.1025,4.3,Delhi,789 Elm Street -  Delhi
Casa Italia,Date Night,Italian,Soy-Free,28.4595,77.0266,4.5,Gurgaon,101 Oak Drive -  Gurgaon
Spicy Salsa,Casual Dining,Mexican,Nut-Free,28.7041,77.1025,4.1,Delhi,456 Cedar Road -  Delhi
Zen Garden,Business Meeting,Chinese,Shellfish-Free,28.4595,77.0266,4.6,Gurgaon,222 Maple Street -  Gurgaon
Sizzle and Spice,Anniversary,Indian,Paleo,28.6139,77.209,4.2,Delhi,555 Birch Lane -  Delhi
Bistro 55,Brunch,French,Low-Carb,28.4595,77.0266,4.4,Gurgaon,777 Pine Avenue -  Gurgaon
Rajasthan Royals,Lunch Meeting,Indian,Vegetarian,28.6139,77.209,4.3,Delhi,888 Elm Street -  Delhi
The Olive Tree,Outdoor Dining,Mediterranean,Gluten-Free,28.5355,77.391,4.5,Noida,123 Main Road -  Noida
The Burger House,Casual Dining,American,Dairy-Free,28.7041,77.1025,4,Delhi,222 Maple Drive -  Delhi
Pasta Paradise,Date Night,Italian,Nut-Free,28.4595,77.0266,4.7,Gurgaon,333 Oak Drive -  Gurgaon
Golden Harvest,Family Dinner,Chinese,Soy-Free,28.7041,77.1025,4.3,Delhi,444 Cedar Road -  Delhi
Spice of India,Business Meeting,Indian,Paleo,28.6139,77.209,4.1,Delhi,555 Walnut Lane -  Delhi
The Noodle House,Casual Dining,Chinese,Dairy-Free,28.4595,77.0266,4.6,Gurgaon,666 Pine Avenue -  Gurgaon
Gourmet Garden,Anniversary,French,Low-Carb,28.4595,77.0266,4.2,Gurgaon,777 Elm Street -  Gurgaon
Cafe Roma,Brunch,Italian,Gluten-Free,28.5355,77.391,4.4,Noida,888 Oak Drive -  Noida
Smokehouse BBQ,Lunch Meeting,American,Shellfish-Free,28.7041,77.1025,4.5,Delhi,123 Cedar Road -  Delhi
Nawabi Zaika,Outdoor Dining,Indian,Dairy-Free,28.6139,77.209,4,Delhi,456 Pine Avenue -  Delhi
The Sushi Bar,Date Night,Japanese,Nut-Free,28.7041,77.1025,4.8,Delhi,789 Elm Road -  Delhi
The Spice Garden,Brunch,Indian,Vegetarian,28.6139,77.209,4.4,Delhi,789 Main Street -  Delhi
Pasta Paradise,Family Dinner,Italian,Dairy-Free,28.5355,77.391,4.1,Noida,222 Pine Street -  Noida
Taco Haven,Casual Dining,Mexican,Nut-Free,28.7041,77.1025,4.3,Delhi,456 Elm Avenue -  Delhi
Dragon Wok,Business Meeting,Chinese,Shellfish-Free,28.4595,77.0266,4.2,Gurgaon,101 Maple Drive -  Gurgaon
Sushi Palace,Date Night,Japanese,Low-Carb,28.7041,77.1025,4.6,Delhi,333 Cedar Road -  Delhi
Le Ptisserie,Fine Dining,French,Paleo,28.6139,77.209,4.3,Delhi,555 Walnut Road -  Delhi
Veggie Delight,Casual Dining,Vegetarian,Gluten-Free,28.5355,77.391,4,Noida,777 Oak Drive -  Noida
Grill Master,Anniversary,Steakhouse,Dairy-Free,28.4595,77.0266,4.7,Gurgaon,888 Pine Lane -  Gurgaon
Mughal Palace,Lunch Meeting,Indian,Nut-Free,28.6139,77.209,4.2,Delhi,987 Main Road -  Delhi
The Riverside Cafe,Outdoor Dining,Vegetarian,Gluten-Free,28.5355,77.391,4.1,Noida,555 Elm Street -  Noida
Burger Express,Casual Dining,American,Shellfish-Free,28.7041,77.1025,4.5,Delhi,123 Maple Drive -  Delhi
Golden Bowl,Family Dinner,Chinese,Dairy-Free,28.4595,77.0266,4,Gurgaon,789 Oak Avenue -  Gurgaon
Spice of India,Business Meeting,Indian,Paleo,28.6139,77.209,4.5,Delhi,456 Pine Lane -  Delhi
Sushi Spot,Date Night,Japanese,Low-Carb,28.7041,77.1025,4.1,Delhi,101 Cedar Road -  Delhi
La Boulangerie,Fine Dining,French,Nut-Free,28.4595,77.0266,4.6,Gurgaon,222 Walnut Lane -  Gurgaon
The Curry House,Lunch Meeting,Indian,Nut-Free,28.6139,77.209,4.3,Delhi,987 Main Road -  Delhi
The Green Leaf,Outdoor Dining,Vegetarian,Gluten-Free,28.5355,77.391,4.2,Noida,555 Elm Street -  Noida
Smokehouse BBQ,Casual Dining,American,Shellfish-Free,28.7041,77.1025,4.4,Delhi,123 Maple Drive -  Delhi
Wok n Roll,Family Dinner,Chinese,Dairy-Free,28.4595,77.0266,4.1,Gurgaon,789 Oak Avenue -  Gurgaon
Spice Route,Business Meeting,Indian,Paleo,28.6139,77.209,4.6,Delhi,456 Pine Lane -  Delhi
Sushi Supreme,Date Night,Japanese,Low-Carb,28.7041,77.1025,4,Delhi,101 Cedar Road -  Delhi
Le Caf,Fine Dining,French,Nut-Free,28.4595,77.0266,4.7,Gurgaon,222 Walnut Lane -  Gurgaon
Pizza Paradise,Family Dinner,Italian,Dairy-Free,28.5355,77.391,4.3,Noida,222 Pine Street -  Noida
Taco Time,Casual Dining,Mexican,Nut-Free,28.7041,77.1025,4.2,Delhi,456 Elm Avenue -  Delhi
Dragon House,Business Meeting,Chinese,Shellfish-Free,28.4595,77.0266,4.5,Gurgaon,101 Maple Drive -  Gurgaon
Sushi Haven,Date Night,Japanese,Low-Carb,28.7041,77.1025,4.3,Delhi,333 Cedar Road -  Delhi
Le Bistro,Fine Dining,French,Paleo,28.6139,77.209,4.2,Delhi,555 Walnut Road -  Delhi
Veggie Garden,Casual Dining,Vegetarian,Gluten-Free,28.5355,77.391,4.1,Noida,777 Oak Drive -  Noida
Grill House,Anniversary,Steakhouse,Dairy-Free,28.4595,77.0266,4.6,Gurgaon,888 Pine Lane -  Gurgaon